name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
Be(O)2-2,Be(O)2-2,Be(O)2-2,aq,WORM Complicator,NA,20251219,HKF,cal,-152915.224,-189770.934,-41.002,-12.715,1.449,3.259,0.176,5.681,-2.786,34.033,-5.625,3.834,-2,4,0,-1.0000 Be(O)2-2 2.0000 H2O -4.0000 H+ 1.0000 Be+2,,Be+2 2O-2,inorganic_aq,
Bi(OH)+2,Bi(OH)+2,Bi(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-32323.247,-44859.158,-19.5,-14.97,,,,,,9.86,-6.084,1.353,2,6,0,-1.0000 Bi(OH)+2 1.0000 OH- 1.0000 Bi+3,,H+ Bi+3 O-2,inorganic_aq,
Bi(O)+,Bi(O)+,Bi(O)+,aq,WORM Complicator,NA,20251219,HKF,cal,-29318.731,-30353.105,19.1,-82.574,7.956,2.942,-0.597,5.985,-2.754,-39.809,-19.855,0.262,1,4,0,-1.0000 Bi(O)+ 1.0000 H2O -2.0000 H+ 1.0000 Bi+3,,Bi+3 O-2,inorganic_aq,
HBi(O)2,HBi(O)2,HBi(O)2,aq,WORM Complicator,NA,20251219,HKF,cal,-79328.316,-86397.102,54.6,-148.488,25.35,5.221,4.967,3.798,-2.984,-81.207,-33.282,-0.038,0,4,0,-1.0000 HBi(O)2 2.0000 H2O -3.0000 H+ 1.0000 Bi+3,,Bi+3 H+ 2O-2,inorganic_aq,
Bi(O)2-,Bi(O)2-,Bi(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-61735.981,-71644.244,45.1,-127.406,22.975,5.229,4.986,3.791,-2.985,-59.785,-28.987,0.946,-1,4,0,-1.0000 Bi(O)2- 2.0000 H2O -4.0000 H+ 1.0000 Bi+3,,Bi+3 2O-2,inorganic_aq,
Ca(OH)+,Ca(OH)+,Ca(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-171283.876,-182529.556,-3.26,12.716,4.378,2.567,-1.513,6.345,-2.716,19.156,-0.444,0.601,1,4,0,-1.0000 Ca(OH)+ 1.0000 Ca+2 1.0000 OH-,,Ca+2 H+ O-2,inorganic_aq,
Cd(OH)+,Cd(OH)+,Cd(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-61498.729,-73374.29,-2.9,12.306,,,,,,18.866,-0.528,0.596,1,4,0,-1.0000 Cd(OH)+ 1.0000 OH- 1.0000 Cd+2,,H+ Cd+2 O-2,inorganic_aq,
Ce(OH)+2,Ce(OH)+2,Ce(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-206971.169,-215579.597,-2.68,-34.145,,,,,,-3.724,-9.99,1.098,2,6,0,-1.0000 Ce(OH)+2 1.0000 OH- 1.0000 Ce+3,,H+ Ce+3 O-2,inorganic_aq,
Ce(OH)+3,Ce(OH)+3,Ce(OH)+3,aq,WORM Complicator,NA,20251219,HKF,cal,-176207.207,-207744.734,-95.132,71.25,-10.321,1.373,-4.428,7.491,-2.596,75.746,11.479,3.02,3,9,0,-1.0000 Ce(OH)+3 1.0000 Ce+4 1.0000 OH-,,Ce+4 H+ O-2,inorganic_aq,
Co(OH)+,Co(OH)+,Co(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-56525.352,-68963.612,-9.96,20.354,-16.482,-0.253,-8.399,9.051,-2.432,24.568,1.112,0.702,1,4,0,-1.0000 Co(OH)+ 1.0000 OH- 1.0000 Co+2,,H+ Co+2 O-2,inorganic_aq,
Co(O),Co(O),Co(O),aq,WORM Complicator,NA,20251219,HKF,cal,-43998.44,-58793.175,-17.84,4.838,-20.028,-0.988,-10.195,9.757,-2.358,8.652,-2.049,-0.038,0,4,0,-1.0000 Co(O) 1.0000 H2O -2.0000 H+ 1.0000 Co+2,,Co+2 O-2,inorganic_aq,
HCo(O)2-,HCo(O)2-,HCo(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-83394.237,-117103.463,-25.54,34.231,-18.592,-0.098,-8.02,8.902,-2.447,44.8,3.938,2.016,-1,4,0,-1.0000 HCo(O)2- 2.0000 H2O -3.0000 H+ 1.0000 Co+2,,Co+2 H+ 2O-2,inorganic_aq,
Co(O)2-2,Co(O)2-2,Co(O)2-2,aq,WORM Complicator,NA,20251219,HKF,cal,-63127.99,-98990.949,-32.74,-31.553,-22.48,-0.058,-7.922,8.864,-2.451,21.841,-9.462,3.709,-2,4,0,-1.0000 Co(O)2-2 2.0000 H2O -4.0000 H+ 1.0000 Co+2,,Co+2 2O-2,inorganic_aq,
Co(OH)+2,Co(OH)+2,Co(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-24298.732,-37637.867,-28.46,-4.756,,,,,,17.096,-4.003,1.489,2,6,0,-1.0000 Co(OH)+2 1.0000 Co+3 1.0000 OH-,,Co+3 H+ O-2,inorganic_aq,
Cr(OH)+,Cr(OH)+,Cr(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-89518.724,-112266.945,-46.1,61.554,-32.745,-2.293,-13.381,11.009,-2.226,53.755,9.504,1.25,1,4,0,-1.0000 Cr(OH)+ 1.0000 OH- 1.0000 Cr+2,,H+ O-2 Cr+2,inorganic_aq,
Cr(OH)+2,Cr(OH)+2,Cr(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-100533.309,-118627.284,-46.06,15.308,,,,,,31.311,0.084,1.755,2,6,0,-1.0000 Cr(OH)+2 1.0000 OH- 1.0000 Cr+3,,H+ Cr+3 O-2,inorganic_aq,
Cr(O)+,Cr(O)+,Cr(O)+,aq,WORM Complicator,NA,20251219,HKF,cal,-92794.879,-105016.389,-26.34,-30.772,-23.853,-1.178,-10.657,9.939,-2.338,-3.111,-9.303,0.951,1,4,0,-1.0000 Cr(O)+ 1.0000 H2O -2.0000 H+ 1.0000 Cr+3,,Cr+3 O-2,inorganic_aq,
HCr(O)2,HCr(O)2,HCr(O)2,aq,WORM Complicator,NA,20251219,HKF,cal,-138097.836,-157307.837,5.96,-37.589,-1.582,1.536,-4.032,7.335,-2.612,-16.213,-10.691,-0.038,0,4,0,-1.0000 HCr(O)2 2.0000 H2O -3.0000 H+ 1.0000 Cr+3,,Cr+3 H+ 2O-2,inorganic_aq,
Cr(O)2-,Cr(O)2-,Cr(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-125321.268,-148324.827,-6.74,-20.616,-8.44,1.195,-4.863,7.661,-2.578,10.033,-7.234,1.731,-1,4,0,-1.0000 Cr(O)2- 2.0000 H2O -4.0000 H+ 1.0000 Cr+3,,Cr+3 2O-2,inorganic_aq,
Cu(OH)+,Cu(OH)+,Cu(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-30101.348,-44178.698,-14.76,25.826,-18.642,-0.524,-9.061,9.311,-2.404,28.444,2.226,0.775,1,4,0,-1.0000 Cu(OH)+ 1.0000 OH- 1.0000 Cu+2,,H+ O-2 Cu+2,inorganic_aq,
Cu(O),Cu(O),Cu(O),aq,WORM Complicator,NA,20251219,HKF,cal,-20834.97,-34228.858,-12.444,-1.314,-17.6,-0.656,-9.384,9.438,-2.391,5.047,-3.302,-0.038,0,4,0,-1.0000 Cu(O) 1.0000 H2O -2.0000 H+ 1.0000 Cu+2,,Cu+2 O-2,inorganic_aq,
