,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140112M,,,11.4,28.2,-6,0.0000519,0.0000056,,0.00736,0.00000791,0.0000107,,5.81E-08,0.000000346,0.00789,0.0000211,0.000217,0.000000671,0.00198,0.00000877,0.0000161
140113O,,,11.4,28.4,-6,0.0000572,0.00000368,,0.00792,0.00000594,0.00000384,,0.000000183,0.00000201,0.0094,0.0000336,0.000252,0.00000107,0.00209,0.0000106,0.00000584
140114T,,,11.4,27.2,-6,0.0000419,0.00000184,,0.00689,0.00000443,0.0000135,0.00000116,0.000000616,0.00000156,0.00797,0.0000306,0.000215,0.00000183,0.00191,0.0000131,0.0000177
140114U,,,11.4,21.7,-6,0.000174863,0.00000743,0.00000117,0.00472,0.00000458,0.000176,0.000000136,0.0000262,0.00000162,0.00809,0.0000119,0.00022,0.0000161,0.00117,0.000000179,0.00000341
140114V,,,11.4,24.4,-6,0.000230632,0.00000275,0.000000404,0.00698,0.00000465,0.0000177,0.000000862,0.00000128,0.00000163,0.00843,0.0000203,0.000218,0.0000056,0.00171,0.0000156,0.00000831
120111B,,,11.4,29.4,-6,0.000091,0.00000446,4.21E-08,0.006391397,0.00000212,0.0000129,0.00000135,6.61E-05,0.00000225,0.007376577,1.53E-05,0.000200767,0.00000132,0.00171,,0.00000541
120113I,,,11.4,30,-6,0.000141567,0.00000329,2.11E-08,0.007239337,0.00000246,0.00000719,0.000000622,0.000108056,0.00000254,0.008851261,3.35E-05,0.000224789,0.00000242,0.00171,,0.00000807
120113K,,,11.4,30.9,-6,0.000121253,0.0000204,6.32E-08,0.006096545,0.00000207,0.0000108,0.0000107,5.64E-05,0.00000261,0.007533085,2.35E-06,0.000186485,0.000000448,0.0016,,0.000000151
090120U,,,11.4,31.4,-6,0.000107388,0.0000505,,0.007101825,3.10E-06,6.72E-05,,0.000227401,0.00000177,0.006584146,2.29E-05,0.000142226,0.000102325,0.001946108,,
090120V,,,11.4,30.6,-6,0.0000541,0.000045,1.00E-06,0.007125332,2.93E-06,8.17E-05,,,0.00000135,0.00662225,,0.000164125,0.0000223,0.001671657,,
120112F,,,11.4,27.4,-6,0.000106103,0.00000462,,0.00431695,0.00000129,0.00000414,0.000000279,5.32E-05,0.00000307,0.00544507,1.06E-05,0.000129218,0.00000193,0.00172,,0.00000496
140117G,,,11.4,30.5,-6,0.0000186,0.0000015,,0.00533,0.00000313,0.00000138,,1.61E-08,0.00000262,0.00627,0.0000195,0.000148,0.000000794,0.0019,0.0000115,0.00000375
