Sample,Year,AOA,AOA RA,Temperature,Pressure,H+,HCO3-,DOC,O2,HS-,SiO2,F-,Cl-,Br-,SO4-2,PO4-3,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,Fe+3,Cu+2
,,Yes/No,,degC,bar,pH,Molality,ppm,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140730SK,2014,Yes,1.438443097,73.1,1,8.147,1.06E-03,0.3,0.0000125,6.86E-07,7.32E-06,0.001249613,0.006280681,8.16E-06,0.000173016,6.03E-07,4.08E-08,1.36E-07,0.000333515,0.013391187,0.00000135,0.000312175,1.59E-07,0.00000986,,,
140730SL,2014,No,0,92.2,1,7.64,1.10E-03,0.5,0.00000406,7.64E-06,6.13E-06,0.001206554,0.006095149,8.35E-06,0.000163737,,1.52E-07,1.30E-07,0.000320505,0.012518869,0.00000348,0.000299296,1.06E-07,0.0000102,,,
140730SN,2014,No,0,83.5,1,7.896,1.08E-03,0.4,0.0000125,2.40E-06,6.59E-06,0.001223278,0.005851592,7.99E-06,0.000165613,,5.22E-08,9.19E-08,0.000378044,0.015282949,0.00000279,0.000355625,1.13E-07,0.0000106,,,
140731SP,2014,No,0,44.4,1,2.465,0.00E+00,1.5,0.0000969,5.30E-07,3.41E-06,0.000179736,0.004378885,5.49E-06,0.005562434,2.53E-07,8.97E-08,1.47E-07,0.000250767,0.006555689,0.000155319,0.000703016,2.04E-05,0.000113686,,,
140731SQ,2014,No,0,47.1,1,2.507,1.31E-05,1.3,0.0000813,1.86E-05,1.81E-06,0.000178572,0.004369348,5.50E-06,0.005515343,3.46E-07,1.26E-07,2.58E-07,0.000270051,0.006554254,0.000176446,0.000756735,2.26E-05,0.000120565,,,
140731SR,2014,No,0,49.7,1,2.495,5.92E-05,1.2,0.0000406,5.58E-05,3.55E-06,0.000177328,0.004323386,5.59E-06,0.005449177,2.75E-07,1.28E-07,1.26E-07,0.000233068,0.006324228,0.000169678,0.000657137,1.92E-05,0.0000984,,,
140802SA,2014,Yes,0.784269152,69.9,1,8.98,5.80E-04,0.5,0.000025,,3.32E-06,0.001264221,0.007613547,9.73E-06,0.000254381,6.83E-07,4.28E-07,6.45E-07,0.000830341,0.019248003,0.000000888,0.000358683,2.14E-07,0.0000184,,,
140802SB,2014,Yes,0.488009655,73,1,9.032,5.77E-04,0.5,0.0000156,,1.76E-06,0.001250005,0.007503667,9.61E-06,0.000251295,3.40E-08,3.59E-07,5.64E-07,0.000614241,0.012423383,0.0000013,0.000262141,3.27E-07,0.0000131,,,
140802SC,2014,Yes,1.62447092,78.2,1,8.976,5.78E-04,0.5,0.0000211,,1.79E-06,0.001247223,0.007558784,9.64E-06,0.000250416,7.55E-07,3.70E-07,4.68E-07,0.000625371,0.013603904,0.000000625,0.000267632,1.60E-07,0.0000146,,,
140803SG,2014,No,0,52.8,1,2.34,6.43E-05,0.9,0.0000594,3.09E-06,4.45E-06,0.0000413,0.000606726,7.19E-07,0.007220428,1.92E-07,5.92E-08,5.48E-07,0.0000378,0.002305388,0.000208051,0.000708798,9.88E-05,0.000255758,,,
140803SH,2014,No,0,62.3,1,2.362,3.70E-05,1.1,0.000025,1.15E-06,3.68E-06,0.000041,0.000494887,5.66E-07,0.007107279,1.37E-07,5.65E-08,9.52E-08,0.0000251,0.001941784,0.00019678,0.000587201,7.69E-05,0.000213338,,,
140803SI,2014,No,0,74,1,2.4,3.10E-04,0.9,0.0000469,3.12E-07,5.88E-06,0.0000419,0.000146599,1.71E-07,0.007414625,7.21E-08,5.33E-08,1.94E-07,0.00000576,0.001507761,0.000166331,0.000520278,6.58E-05,0.0001352,,,
140803SJ,2014,No,0,50.9,1,2.334,3.58E-05,0.9,0.0000844,1.30E-05,4.78E-06,0.0000432,0.000442494,5.13E-07,0.00728979,4.74E-08,3.04E-08,1.48E-07,0.0000229,0.0018686,0.00019283,0.000608073,7.87E-05,0.000214396,,,
140803SO,2014,No,0,44.1,1,2.355,3.37E-05,1,0.0000938,2.37E-06,1.43E-06,0.0000404,0.000928259,1.00E-06,0.006719754,1.22E-07,5.11E-08,8.39E-08,0.0000514,0.002102354,0.00018682,0.000586412,9.13E-05,0.000314349,,,
140803SP,2014,No,0,53.5,1,2.332,4.13E-05,0.9,0.00000938,6.24E-07,3.99E-06,0.0000437,0.00014983,1.81E-07,0.007575506,,3.80E-08,2.97E-07,0.00000648,0.001684298,0.000202492,0.000622873,7.33E-05,0.000151771,,,
140804SS,2014,No,0,33.2,1,5.628,-1.86E-07,0.7,0.0001375,1.81E-06,6.66E-06,0.0003254,0.01933757,2.85E-05,0.000519326,,1.27E-07,1.01E-06,0.000895004,0.019484401,0.0000393,0.000917468,4.34E-07,0.00016515,,,
140804ST,2014,No,0,53.9,1,5.684,-5.88E-07,0.6,0.0000656,1.18E-06,7.52E-06,0.000324838,0.019866108,2.80E-05,0.000506451,,4.95E-08,3.55E-07,0.00092084,0.020510564,0.000037,0.000960325,2.80E-07,0.000165664,,,
140804SU,2014,No,0,66.8,1,5.48,1.96E-06,0.8,0.0000188,1.56E-07,7.09E-06,0.000312547,0.01905203,2.65E-05,0.000585226,,5.81E-08,2.58E-07,0.000743758,0.016205524,0.0000411,0.000790957,4.45E-07,0.000134737,,,
140804SV,2014,No,0,77.5,1,3.85,1.48E-05,1.9,0.0000234,9.35E-07,6.51E-06,0.000306461,0.0186603,2.59E-05,0.000881412,,8.26E-08,2.42E-07,0.000823509,0.018498189,0.0000524,0.000909524,1.54E-06,0.000160425,,,
140805SA,2014,Yes,0.082862914,72.8,1,8.845,5.90E-04,0.4,0.0000375,6.95E-06,4.78E-06,0.001359799,0.008367695,1.15E-05,0.000195947,,7.28E-08,3.64E-07,0.000752226,0.015539174,0.00000388,0.000327367,3.39E-08,0.00000889,,,
140805SB,2014,No,0,76.9,1,8.772,5.79E-04,0.4,0.0000281,9.01E-06,5.26E-06,0.001342496,0.008225981,1.10E-05,0.000187883,,7.39E-08,2.93E-07,0.00077402,0.016170853,0.00000149,0.000337416,5.04E-08,0.00000909,,,
140805SC,2014,Yes,0.729093068,66.8,1,8.729,6.87E-04,0.4,0.0000469,,4.63E-06,0.001166164,0.006807482,9.49E-06,0.000283245,1.26E-07,1.42E-07,1.56E-07,0.00062594,0.013312969,0.0000042,0.000280458,,0.0000169,,,
140805SD,2014,Yes,0.462512171,70.8,1,8.772,6.90E-04,0.7,0.0001,2.18E-07,3.99E-06,0.001153922,0.006843532,9.49E-06,0.000280067,1.27E-07,1.12E-07,2.26E-07,0.000622263,0.013214205,0.00000342,0.000277528,,0.0000173,,,
140805SE,2014,Yes,1.696294149,77.6,1,8.583,5.99E-04,0.5,0.0000156,,4.64E-06,0.001159094,0.006933884,8.91E-06,0.000280296,2.92E-08,8.26E-08,2.93E-07,0.000614418,0.01299105,0.000000879,0.000274816,1.02E-07,0.0000157,,0,
